date,path,field,median_ms,p95_ms,samples
2026-08-26,modem,sdr_udp_rtt,34.0,34.0,582
2026-08-26,modem,cf_avg,3.0,3.0,581
2026-08-26,pppoe,sdr_udp_rtt,34.0,40.0,580
2026-08-26,pppoe,cf_avg,25.0,182.0,580
2026-08-27,modem,sdr_udp_rtt,34.0,57.0,1053
2026-08-27,modem,cf_avg,3.0,3.0,1053
2026-08-27,pppoe,sdr_udp_rtt,34.0,58.0,1048
2026-08-27,pppoe,cf_avg,24.0,211.0,1048
2026-08-28,modem,sdr_udp_rtt,34.0,35.0,2142
2026-08-28,modem,cf_avg,3.0,3.0,2143
2026-08-28,modem,jit_mdev,0.4,0.9,2077
2026-08-28,pppoe,sdr_udp_rtt,33.0,36.0,2141
2026-08-28,pppoe,cf_avg,3.0,39.0,2142
2026-08-28,pppoe,jit_mdev,0.7,10.7,2076
2026-08-29,modem,sdr_udp_rtt,34.0,35.0,2173
2026-08-29,modem,cf_avg,3.0,4.0,2177
2026-08-29,modem,jit_mdev,0.4,1.5,2177
2026-08-29,pppoe,sdr_udp_rtt,33.0,37.0,2173
2026-08-29,pppoe,cf_avg,3.0,14.0,2175
2026-08-29,pppoe,jit_mdev,0.7,10.9,2175
2026-08-30,modem,sdr_udp_rtt,34.0,35.0,2035
2026-08-30,modem,cf_avg,3.0,4.0,2036
2026-08-30,modem,jit_mdev,0.4,1.4,2036
2026-08-30,pppoe,sdr_udp_rtt,33.0,37.0,2034
2026-08-30,pppoe,cf_avg,24.0,68.0,2035
2026-08-30,pppoe,jit_mdev,0.7,10.9,2035
2026-08-31,modem,sdr_udp_rtt,33.0,34.0,2095
2026-08-31,modem,cf_avg,3.0,3.0,2098
2026-08-31,modem,jit_mdev,0.4,0.8,2098
2026-08-31,pppoe,sdr_udp_rtt,33.0,34.0,2092
2026-08-31,pppoe,cf_avg,25.0,54.0,2098
2026-08-31,pppoe,jit_mdev,0.7,10.9,2098
2026-09-01,modem,sdr_udp_rtt,34.0,34.0,2097
2026-09-01,modem,cf_avg,3.0,4.0,2098
2026-09-01,modem,jit_mdev,0.4,0.9,2098
2026-09-01,pppoe,sdr_udp_rtt,33.0,34.0,2097
2026-09-01,pppoe,cf_avg,25.0,56.0,2098
2026-09-01,pppoe,jit_mdev,0.7,10.4,2098
2026-09-02,modem,sdr_udp_rtt,34.0,34.0,2094
2026-09-02,modem,cf_avg,3.0,4.0,2098
2026-09-02,modem,jit_mdev,0.4,0.6,2099
2026-09-02,pppoe,sdr_udp_rtt,33.0,35.0,2091
2026-09-02,pppoe,cf_avg,25.0,53.0,2098
2026-09-02,pppoe,jit_mdev,0.7,10.8,2099
2026-09-03,modem,sdr_udp_rtt,34.0,35.0,2089
2026-09-03,modem,cf_avg,3.0,4.0,2090
2026-09-03,modem,jit_mdev,0.4,1.8,2090
2026-09-03,pppoe,sdr_udp_rtt,33.0,36.0,2085
2026-09-03,pppoe,cf_avg,25.0,124.0,2090
2026-09-03,pppoe,jit_mdev,0.8,11.3,2090
2026-09-04,modem,sdr_udp_rtt,34.0,35.0,1984
2026-09-04,modem,cf_avg,3.0,3.0,1986
2026-09-04,modem,jit_mdev,0.4,0.6,1986
2026-09-04,pppoe,sdr_udp_rtt,33.0,34.0,1980
2026-09-04,pppoe,cf_avg,25.0,222.0,1985
2026-09-04,pppoe,jit_mdev,0.7,10.2,1985
2026-09-05,modem,sdr_udp_rtt,34.0,34.0,2008
2026-09-05,modem,cf_avg,3.0,3.0,2012
2026-09-05,modem,jit_mdev,0.4,0.6,2010
2026-09-05,pppoe,sdr_udp_rtt,33.0,36.0,2004
2026-09-05,pppoe,cf_avg,24.0,134.0,2012
2026-09-05,pppoe,jit_mdev,0.7,10.2,2010
